title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
Computational Topology for Data Analysis,"[ Tamal Krishna Dey,  and , Yusu Wang]",67.1, 64.99 - 67.10 ,452,,,,,,,,6 x 1 x 9 inches,1.72 pounds,English,Cambridge University Press, ,/Computational-Topology-Analysis-Tamal-Krishna/dp/1009098160/ref=sr_1_58?keywords=data+analysis&qid=1671164651&sr=8-58,https://www.amazon.com/Computational-Topology-Analysis-Tamal-Krishna/dp/1009098160/ref=sr_1_58?keywords=data+analysis&qid=1671164651&sr=8-58
Equity Valuation and Analysis: 5th Edition,"[ Russell Lundholm,  and , Richard Sloan]",60, 43.17 - 60.00 ,248,4.2,32,65%,19%,5%,11%,,6 x 0.56 x 9 inches,12 ounces,English,Independently published ,978-1079983357,/Equity-Valuation-Analysis-Russell-Lundholm/dp/107998335X/ref=sr_1_57?keywords=data+analysis&qid=1671164651&sr=8-57,https://www.amazon.com/Equity-Valuation-Analysis-Russell-Lundholm/dp/107998335X/ref=sr_1_57?keywords=data+analysis&qid=1671164651&sr=8-57
Julia for Data Analysis,[ Bogumil Kaminski],59.99,59.99,472,,,,,,,,7.38 x 0.81 x 9.25 inches,13.6 ounces,English,Manning ,978-1633439368,/Julia-Data-Analysis-Bogumil-Kaminski/dp/1633439364/ref=sr_1_55?keywords=data+analysis&qid=1671164651&sr=8-55,https://www.amazon.com/Julia-Data-Analysis-Bogumil-Kaminski/dp/1633439364/ref=sr_1_55?keywords=data+analysis&qid=1671164651&sr=8-55
Python for Excel: A Modern Environment for Automation and Data Analysis,[ Felix Zumstein],32.99,32.99,335,4.6,205,73%,17%,4%,3%,2%,7 x 0.7 x 9.19 inches,1.19 pounds,English,O'Reilly Media,978-1492081005,/Python-Excel-Environment-Automation-Analysis/dp/1492081000/ref=sr_1_56?keywords=data+analysis&qid=1671164651&sr=8-56,https://www.amazon.com/Python-Excel-Environment-Automation-Analysis/dp/1492081000/ref=sr_1_56?keywords=data+analysis&qid=1671164651&sr=8-56
Microsoft® Excel Data Analysis and Business Modeling,[ Wayne L. Winston],23.25, 20.93 - 23.25 ,624,3.9,37,42%,24%,20%,5%,8%,7.38 x 1.5 x 9 inches,11.2 ounces,English,Microsoft Press,978-0735619012,/Microsoft%C2%AE-Analysis-Business-Modeling-Skills/dp/0735619018/ref=sr_1_54?keywords=data+analysis&qid=1671164651&sr=8-54,https://www.amazon.com/Microsoft%C2%AE-Analysis-Business-Modeling-Skills/dp/0735619018/ref=sr_1_54?keywords=data+analysis&qid=1671164651&sr=8-54
Statistics & Statistical Analysis Illustrated: Foundations You Should Know,,3.99,3.99,120,4.1,16,61%,14%,8%,8%,8%,,,English,,,/Statistics-Statistical-Analysis-Illustrated-Foundations-ebook/dp/B09QD64XSW/ref=sr_1_58?keywords=data+analysis&qid=1671164651&sr=8-58,https://www.amazon.com/Statistics-Statistical-Analysis-Illustrated-Foundations-ebook/dp/B09QD64XSW/ref=sr_1_58?keywords=data+analysis&qid=1671164651&sr=8-58
"High-Dimensional Data Analysis with Low-Dimensional Models: Principles, Computation, and Applications","[ John Wright,  and , Yi Ma]",79.99,79.99,650,4.8,15,84%,16%,,,,6.75 x 1.5 x 9.75 inches,3.15 pounds,English,Cambridge University Press,978-1108489737,/High-Dimensional-Data-Analysis-Low-Dimensional-Models/dp/1108489737/ref=sr_1_53?keywords=data+analysis&qid=1671164651&sr=8-53,https://www.amazon.com/High-Dimensional-Data-Analysis-Low-Dimensional-Models/dp/1108489737/ref=sr_1_53?keywords=data+analysis&qid=1671164651&sr=8-53
From Social Science to Data Science: Key Data Collection and Analysis Skills in Python,[ Bernie Hogan],48,48,400,,,,,,,,,,English,SAGE Publications Ltd,,/Social-Science-Data-Collection-Analysis-ebook/dp/B0BN28LPHK/ref=sr_1_56?keywords=data+analysis&qid=1671164651&sr=8-56,https://www.amazon.com/Social-Science-Data-Collection-Analysis-ebook/dp/B0BN28LPHK/ref=sr_1_56?keywords=data+analysis&qid=1671164651&sr=8-56
Data Structures & Algorithms in Python (Developer's Library),"[ John Canning, Alan Broder, et al.]",69.99, 57.79 - 69.99 ,928,5,3,100%,,,,,7 x 1.21 x 9.13 inches,2.93 pounds,English,Addison-Wesley Professional,978-0134855684,/Structures-Algorithms-Python-Robert-Lafore/dp/013485568X/ref=sr_1_55?keywords=data+analysis&qid=1671164651&sr=8-55,https://www.amazon.com/Structures-Algorithms-Python-Robert-Lafore/dp/013485568X/ref=sr_1_55?keywords=data+analysis&qid=1671164651&sr=8-55
"Python Data Analysis: Comprehensive Guide to Data Science, Analytics and Metrics with Python (Data Science and Analysis Book 1)",,,,82,4.1,19,65%,7%,16%,12%,,,,English,,,/Python-Data-Analysis-Comprehensive-Analytics-ebook/dp/B08KF5LXFD/ref=sr_1_54?keywords=data+analysis&qid=1671164651&sr=8-54,https://www.amazon.com/Python-Data-Analysis-Comprehensive-Analytics-ebook/dp/B08KF5LXFD/ref=sr_1_54?keywords=data+analysis&qid=1671164651&sr=8-54
Mathematical Statistics and Data Analysis,[ Rice],25.85, 25.00 - 25.85 ,684,4.2,76,62%,13%,13%,4%,9%,7.99 x 10 x 1.85 inches,1.89 pounds,English,Cengage Learning, ,/Mathematical-Statistics-Data-Analysis-Rice/dp/8131519546/ref=sr_1_52?keywords=data+analysis&qid=1671164651&sr=8-52,https://www.amazon.com/Mathematical-Statistics-Data-Analysis-Rice/dp/8131519546/ref=sr_1_52?keywords=data+analysis&qid=1671164651&sr=8-52
Hypothesis Testing: An Intuitive Guide for Making Data Driven Decisions,[ Jim Frost],23.74,23.74,381,4.5,112,77%,13%,3%,2%,5%,6 x 0.86 x 9 inches,1.12 pounds,English,Statistics By Jim Publishing ,978-1735431154,/Hypothesis-Testing-Intuitive-Making-Decisions/dp/173543115X/ref=sr_1_51?keywords=data+analysis&qid=1671164651&sr=8-51,https://www.amazon.com/Hypothesis-Testing-Intuitive-Making-Decisions/dp/173543115X/ref=sr_1_51?keywords=data+analysis&qid=1671164651&sr=8-51
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","[ Garrett Grolemund,  and , Hadley Wickham]",42.49, 32.79 - 42.49 ,518,4.7,"1,426",81%,12%,4%,1%,2%,6 x 1.05 x 9 inches,1.64 pounds,English,O'Reilly Media, ,/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_49?keywords=data+analysis&qid=1671164651&sr=8-49,https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_49?keywords=data+analysis&qid=1671164651&sr=8-49
Practical Time Series Analysis: Prediction with Statistics and Machine Learning,[ Aileen Nielsen],51.99,51.99,504,4.1,125,57%,18%,10%,8%,8%,7 x 1 x 9.25 inches,1.7 pounds,English,O'Reilly Media, ,/Practical-Time-Analysis-Prediction-Statistics/dp/1492041653/ref=sr_1_50?keywords=data+analysis&qid=1671164651&sr=8-50,https://www.amazon.com/Practical-Time-Analysis-Prediction-Statistics/dp/1492041653/ref=sr_1_50?keywords=data+analysis&qid=1671164651&sr=8-50
Time Series Forecasting in Python,[ Marco Peixeiro],59.99,59.99,456,4.5,2,51%,49%,,,,7.38 x 1.2 x 9.25 inches,11.02 pounds,English,Manning , ,/Time-Forecasting-Python-Marco-Peixeiro/dp/161729988X/ref=sr_1_48?keywords=data+analysis&qid=1671164651&sr=8-48,https://www.amazon.com/Time-Forecasting-Python-Marco-Peixeiro/dp/161729988X/ref=sr_1_48?keywords=data+analysis&qid=1671164651&sr=8-48
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street","[ Nick Singh,  and , Kevin Huo]",38.39, 32.26 - 38.39 ,301,4.5,695,76%,12%,5%,3%,4%,7 x 0.68 x 10 inches,1.28 pounds,English,Ace the Data Science Interview ,978-0578973838,/Ace-Data-Science-Interview-Questions/dp/0578973839/ref=sr_1_46?keywords=data+analysis&qid=1671164651&sr=8-46,https://www.amazon.com/Ace-Data-Science-Interview-Questions/dp/0578973839/ref=sr_1_46?keywords=data+analysis&qid=1671164651&sr=8-46
Storytelling with Data: Let's Practice!,[ Cole Nussbaumer Knaflic],24.49,24.49,448,4.7,580,79%,13%,5%,1%,1%,7.9 x 0.9 x 9.8 inches,2.27 pounds,English,Wiley,978-1119621492,/Storytelling-Data-Cole-Nussbaumer-Knaflic/dp/1119621496/ref=sr_1_47?keywords=data+analysis&qid=1671164651&sr=8-47,https://www.amazon.com/Storytelling-Data-Cole-Nussbaumer-Knaflic/dp/1119621496/ref=sr_1_47?keywords=data+analysis&qid=1671164651&sr=8-47
Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,"[ Ethan Bueno de Mesquita,  and , Anthony Fowler]",28.49,28.49,400,4.3,39,74%,6%,7%,5%,8%,7 x 1 x 9.75 inches,1.55 pounds,English,Princeton University Press , ,/Thinking-Clearly-Data-Quantitative-Reasoning/dp/0691214352/ref=sr_1_45?keywords=data+analysis&qid=1671164651&sr=8-45,https://www.amazon.com/Thinking-Clearly-Data-Quantitative-Reasoning/dp/0691214352/ref=sr_1_45?keywords=data+analysis&qid=1671164651&sr=8-45
The Data Detective: Ten Easy Rules to Make Sense of Statistics,"[ Tim Harford,  and , Penguin Audio]",,,,4.5,658,62%,26%,9%,2%,1%,,,,,#35 in ,/Data-Detective-Rules-Sense-Statistics/dp/B089B5VXQ7/ref=sr_1_44?keywords=data+analysis&qid=1671164651&sr=8-44,https://www.amazon.com/Data-Detective-Rules-Sense-Statistics/dp/B089B5VXQ7/ref=sr_1_44?keywords=data+analysis&qid=1671164651&sr=8-44
Storytelling with Data: A Data Visualization Guide for Business Professionals,[ Cole Nussbaumer Knaflic],35.17, 30.20 - 35.17 ,288,4.6,"3,493",76%,15%,6%,1%,2%,7.3 x 0.6 x 9.2 inches,1.46 pounds,English,Wiley, ,/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257/ref=sr_1_43?keywords=data+analysis&qid=1671164651&sr=8-43,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257/ref=sr_1_43?keywords=data+analysis&qid=1671164651&sr=8-43
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics",[ Thomas Nield],43.49, 43.48 - 43.49 ,347,4.5,57,76%,9%,10%,2%,3%,7 x 0.75 x 9 inches,1.23 pounds,English,O'Reilly Media,978-1098102937,/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_42?keywords=data+analysis&qid=1671164651&sr=8-42,https://www.amazon.com/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_42?keywords=data+analysis&qid=1671164651&sr=8-42
Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries,[ Jim Frost],17.99, 16.19 - 17.99 ,255,4.5,217,72%,15%,6%,2%,5%,6 x 0.58 x 9 inches,12.2 ounces,English,Statistics By Jim Publishing ,978-1735431109,/Introduction-Statistics-Intuitive-Analyzing-Discoveries/dp/1735431109/ref=sr_1_40?keywords=data+analysis&qid=1671164651&sr=8-40,https://www.amazon.com/Introduction-Statistics-Intuitive-Analyzing-Discoveries/dp/1735431109/ref=sr_1_40?keywords=data+analysis&qid=1671164651&sr=8-40
Data Analysis with Python and PySpark,[ Jonathan Rioux],48.49, 43.99 - 48.49 ,456,4.8,8,82%,18%,,,,7.38 x 1 x 9.25 inches,1.81 pounds,English,Manning , ,/Analysis-Python-PySpark-Jonathan-Rioux/dp/1617297208/ref=sr_1_38?keywords=data+analysis&qid=1671164651&sr=8-38,https://www.amazon.com/Analysis-Python-PySpark-Jonathan-Rioux/dp/1617297208/ref=sr_1_38?keywords=data+analysis&qid=1671164651&sr=8-38
SQL for Data Scientists: A Beginner's Guide for Building Datasets for Analysis,[ Renee M. P. Teate],32.49,32.49,288,4.6,60,72%,22%,4%,2%,,7.38 x 0.65 x 9.25 inches,1.06 pounds,English,Wiley,978-1119669364,/SQL-Data-Scientists-Beginners-Building/dp/1119669367/ref=sr_1_39?keywords=data+analysis&qid=1671164651&sr=8-39,https://www.amazon.com/SQL-Data-Scientists-Beginners-Building/dp/1119669367/ref=sr_1_39?keywords=data+analysis&qid=1671164651&sr=8-39
Statistics and Data Analysis: From Elementary to Intermediate,"[ Ajit Tamhane,  and , Dorothy Dunlop]",146.65, 19.50 - 146.65 ,736,4.4,31,69%,13%,7%,4%,6%,7 x 1.5 x 9.2 inches,2.77 pounds,English,Pearson,978-0137444267,/Statistics-Data-Analysis-Elementary-Intermediate/dp/0137444265/ref=sr_1_41?keywords=data+analysis&qid=1671164651&sr=8-41,https://www.amazon.com/Statistics-Data-Analysis-Elementary-Intermediate/dp/0137444265/ref=sr_1_41?keywords=data+analysis&qid=1671164651&sr=8-41
The Art of Data Analysis: Non-Technical Skills for Data Analysts,[ Alberto Scappini],15.05, 14.00 - 15.05 ,305,4.1,25,55%,17%,13%,9%,6%,6 x 0.69 x 9 inches,14.6 ounces,English,Independently published ,978-1702688529,/Art-Data-Analysis-Non-Technical-Analysts/dp/1702688526/ref=sr_1_36?keywords=data+analysis&qid=1671164651&sr=8-36,https://www.amazon.com/Art-Data-Analysis-Non-Technical-Analysts/dp/1702688526/ref=sr_1_36?keywords=data+analysis&qid=1671164651&sr=8-36
Microsoft Excel 2019 Data Analysis and Business Modeling (Business Skills),,35.35, 23.96 - 35.35 ,880,4.6,483,73%,15%,8%,2%,2%,7.4 x 1.9 x 9.1 inches,2.95 pounds,English,Microsoft Press,978-1509305889,/Microsoft-Analysis-Business-Modeling-Skills/dp/1509305882/ref=sr_1_35?keywords=data+analysis&qid=1671164651&sr=8-35,https://www.amazon.com/Microsoft-Analysis-Business-Modeling-Skills/dp/1509305882/ref=sr_1_35?keywords=data+analysis&qid=1671164651&sr=8-35
"Introduction to Error Analysis: The Science of Measurements, Uncertainties, and Data Analysis",[ Jack Merrin],19.99,19.99,112,4.6,13,79%,16%,6%,,,8.5 x 0.24 x 11.02 inches,9.9 ounces,English,CreateSpace Independent Publishing Platform,978-1975906658,/Introduction-Error-Analysis-Measurements-Uncertainties/dp/1975906659/ref=sr_1_34?keywords=data+analysis&qid=1671164651&sr=8-34,https://www.amazon.com/Introduction-Error-Analysis-Measurements-Uncertainties/dp/1975906659/ref=sr_1_34?keywords=data+analysis&qid=1671164651&sr=8-34
Introduction to Multivariate Data Analysis (Easy Statistics),,,,67,4.4,3,37%,63%,,,,,,English,anushabooks.com ,,/Introduction-Multivariate-Data-Analysis-Statistics-ebook/dp/B0B4W7743J/ref=sr_1_32?keywords=data+analysis&qid=1671164651&sr=8-32,https://www.amazon.com/Introduction-Multivariate-Data-Analysis-Statistics-ebook/dp/B0B4W7743J/ref=sr_1_32?keywords=data+analysis&qid=1671164651&sr=8-32
"R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics","[ JD Long,  and , Paul Teetor]",69.99, 57.79 - 69.99 ,600,4.6,107,72%,16%,8%,4%,,7 x 1.21 x 9.19 inches,2.08 pounds,English,O'Reilly Media,978-1492040682,/Cookbook-Recipes-Analysis-Statistics-Graphics/dp/1492040681/ref=sr_1_33?keywords=data+analysis&qid=1671164651&sr=8-33,https://www.amazon.com/Cookbook-Recipes-Analysis-Statistics-Graphics/dp/1492040681/ref=sr_1_33?keywords=data+analysis&qid=1671164651&sr=8-33
"Python for Geospatial Data Analysis: Theory, Tools, and Practice for Location Intelligence",[ Bonny McClain],59.05,59.05,279,3,1,100%,,,,,6.75 x 1 x 9 inches,1.34 pounds,English,O'Reilly Media,978-1098104795,/Python-Geospatial-Data-Analysis-Intelligence/dp/109810479X/ref=sr_1_30?keywords=data+analysis&qid=1671164651&sr=8-30,https://www.amazon.com/Python-Geospatial-Data-Analysis-Intelligence/dp/109810479X/ref=sr_1_30?keywords=data+analysis&qid=1671164651&sr=8-30
Data Analysis Using SQL and Excel,[ Gordon S. Linoff],35.05, 23.23 - 35.05 ,800,4.4,96,63%,24%,11%,3%,,7.38 x 1.81 x 9.25 inches,2.81 pounds,English,Wiley,978-1119021438,/Data-Analysis-Using-SQL-Excel/dp/111902143X/ref=sr_1_31?keywords=data+analysis&qid=1671164651&sr=8-31,https://www.amazon.com/Data-Analysis-Using-SQL-Excel/dp/111902143X/ref=sr_1_31?keywords=data+analysis&qid=1671164651&sr=8-31
Optimization for Data Analysis,"[ Stephen J. Wright,  and , Benjamin Recht]",49.99,49.99,238,5,3,100%,,,,,6.25 x 0.75 x 9.25 inches,15.9 ounces,English,Cambridge University Press,978-1316518984,/Optimization-Data-Analysis-Stephen-Wright/dp/1316518981/ref=sr_1_25?keywords=data+analysis&qid=1671164651&sr=8-25,https://www.amazon.com/Optimization-Data-Analysis-Stephen-Wright/dp/1316518981/ref=sr_1_25?keywords=data+analysis&qid=1671164651&sr=8-25
"Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling, visualization, digital storytelling, and more, 2nd Edition","[ Devin Knight, Mitchell Pearson, et al.]",28.49, 25.64 - 28.49 ,296,4.3,157,59%,23%,13%,4%,2%,7.5 x 0.67 x 9.25 inches,1.13 pounds,English,Packt Publishing,978-1800561571,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A086028025VJ5JI7P7CRD&qualifier=1671164775&id=251758586885247&widgetName=sp_mtf&url=%2FMicrosoft-Power-Quick-Start-Guide%2Fdp%2F1800561571%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164775%26sr%3D8-84-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A086028025VJ5JI7P7CRD&qualifier=1671164775&id=251758586885247&widgetName=sp_mtf&url=%2FMicrosoft-Power-Quick-Start-Guide%2Fdp%2F1800561571%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164775%26sr%3D8-84-spons%26psc%3D1
Mastering PyTorch: Build powerful neural network architectures using advanced PyTorch 1.x features,"[ Ashish Ranjan Jha,  and , Dr. Gopinath Pillai]",39.99,39.99,450,4.4,24,61%,24%,7%,8%,,7.5 x 1.02 x 9.25 inches,1.69 pounds,English,Packt Publishing , ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A1028174PDVBVTK46CLH&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FMastering-PyTorch-powerful-architectures-advanced%2Fdp%2F1789614384%2Fref%3Dsr_1_131_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-131-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A1028174PDVBVTK46CLH&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FMastering-PyTorch-powerful-architectures-advanced%2Fdp%2F1789614384%2Fref%3Dsr_1_131_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-131-spons%26psc%3D1
Using Data to Focus Instructional Improvement,"[ Cheryl James-Ward, Douglas Fisher, et al.]",20.13,20.13,134,4.6,78,77%,15%,5%,2%,2%,7.9 x 0.3 x 9.8 inches,10.4 ounces,English,ASCD,x,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A02248121JWMVB67ZSOM8&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FUsing-Data-Focus-Instructional-Improvement%2Fdp%2F1416614842%2Fref%3Dsr_1_129_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-129-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A02248121JWMVB67ZSOM8&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FUsing-Data-Focus-Instructional-Improvement%2Fdp%2F1416614842%2Fref%3Dsr_1_129_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-129-spons%26psc%3D1
DATA ANALYTICS: Simple and Effective Tips and Tricks to Learn Data Analytics Effectively,,21.22, 19.99 - 21.22 ,167,5,2,100%,,,,,6 x 0.38 x 9 inches,8.2 ounces,English,Independently published ,979-8678745439,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A01283821OUMQMARYV9MZ&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FDATA-ANALYTICS-Effective-Analytics-Effectively%2Fdp%2FB08GLWB38K%2Fref%3Dsr_1_115_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-115-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A01283821OUMQMARYV9MZ&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FDATA-ANALYTICS-Effective-Analytics-Effectively%2Fdp%2FB08GLWB38K%2Fref%3Dsr_1_115_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-115-spons%26psc%3D1
"Azure Data Engineering Cookbook: Get well versed in various data engineering techniques in Azure using this recipe-based guide, 2nd Edition","[ Nagaraj Venkatesan,  and , Ahmad Osama]",49.99,49.99,608,5,6,100%,,,,,7.5 x 1.37 x 9.25 inches,2.27 pounds,English,Packt Publishing,978-1803246789,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07114601UZKXP3BJE5GU&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FAzure-Data-Engineering-Cookbook-recipe-based%2Fdp%2F1803246782%2Fref%3Dsr_1_113_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-113-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07114601UZKXP3BJE5GU&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FAzure-Data-Engineering-Cookbook-recipe-based%2Fdp%2F1803246782%2Fref%3Dsr_1_113_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-113-spons%26psc%3D1
Communicating with Data Visualisation: A Practical Guide,"[ Adam Frost, Tobias Sturt, et al.]",54.15, 53.90 - 54.15 ,368,4.4,3,38%,62%,,,,7.25 x 0.75 x 9.5 inches,1.76 pounds,English,SAGE Publications Ltd, ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A032473020M7GXRTGWJP&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FCommunicating-Data-Visualisation-Practical-Guide%2Fdp%2F152974377X%2Fref%3Dsr_1_114_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-114-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A032473020M7GXRTGWJP&qualifier=1671164784&id=6423934889239781&widgetName=sp_mtf&url=%2FCommunicating-Data-Visualisation-Practical-Guide%2Fdp%2F152974377X%2Fref%3Dsr_1_114_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164784%26sr%3D8-114-spons%26psc%3D1
